Name,Year,Group,Status,"Birth Date",Gender,"Undergraduate Major","Graduate Major","Military Rank","Military Branch","Space Flights","Space Flight (hr)","Space Walks","Space Walks (hr)",Missions,"Death Date","Death Mission",Birth_city,Birth_state,Birth_country,Ugrad_school,Grad_school
"Gregory H. Johnson",1998,17,Active,"2062-05-12 00:00:00",Male,"Aeronautical Engineering","Flight Structures Engineering; Business Administration",Colonel,"US Air Force (Retired)",2,755,0,0,"STS-123 (Endeavor), STS-134 (Endeavor)",NULL,NULL,London,,England,"US Air Force Academy","Columbia University; University of Texas"
"Thomas D. Jones",1990,13,Retired,"2055-01-22 00:00:00",Male,NULL,"Planetary Science",Non-Military,Non-military,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",NULL,NULL,Baltimore,MD,USA,"US Air Force Academy","University of Arizona"
"Janet L. Kavandi",1995,15,Management,"2059-07-17 00:00:00",Female,Chemistry,Chemistry,Non-Military,Non-military,3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",NULL,NULL,Springfield,MO,USA,"Missouri Southern State College","University of Missouri; University of Washington"
"James M. Kelly",1996,16,Management,"2064-05-14 00:00:00",Male,"Astronautical Engineering","Aerospace Engineering",Colonel,"US Air Force (Retired)",2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)",NULL,NULL,Burlington,IA,USA,"US Air Force Academy","University of Alabama"
"Mark E. Kelly",1996,16,Retired,"2064-02-21 00:00:00",Male,"Marine Engineering & Nautical Science","Aeronautical Engineering",Captain,"US Navy (Retired)",4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",NULL,NULL,Orange,NJ,USA,"US Merchant Marine Academy","US Naval Postgraduate School"
"Scott J. Kelly",1996,16,Active,"2064-02-21 00:00:00",Male,"Electrical Engineering","Aviation Systems",Captain,"US Navy (Retired)",4,12490,3,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25,26 (Soyuz), ISS-43,44,45,46 (Soyuz)",NULL,NULL,Orange,NJ,USA,"State University of New York Maritime College","University of Tennessee-Knoxville"
"Joseph P. Kerwin",1965,4,Retired,"2032-02-19 00:00:00",Male,Philosophy,Medicine,Captain,"US Navy (Retired)",1,672,1,3,"Skylab 2",NULL,NULL,"Oak Park",IL,USA,"College of the Holy Cross","Northwestern University"
"Susan L. Kilrain (Still)",1995,15,Retired,"2061-10-24 00:00:00",Female,"Astronautical Engineering","Aerospace Engineering",Commander,"US Navy (Retired)",2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)",NULL,NULL,Augusta,GA,USA,"Embry-Riddle University","Georgia Institute of Technology"
"Robert Shane Kimbrough",2004,19,Active,"2067-06-04 00:00:00",Male,"Aerospace Engineering","Operations Research",Colonel,"US Army",3,3720,4,25,"STS-126 (Endeavor), ISS-49,50 (Soyuz)",NULL,NULL,Killeen,TX,USA,"US Military Academy","Georgia Institute of Technology"
"Timothy L. Kopra",2000,18,Active,"2063-04-09 00:00:00",Male,"Computer Science","Aerospace Engineering; Strategic Studies",Colonel,"US Army (Retired)",2,5857,3,13,"STS-127,128 (Endeavor,Discovery), ISS-46,47 (Soyuz)",NULL,NULL,Austin,TX,USA,"US Military Academy","Georgia Institute of Technology; US Army War College"
"Kevin R. Kregel",1992,14,Retired,"2056-09-16 00:00:00",Male,"Astronautical Engineering","Public Administration",Non-Military,Non-military,4,1265,0,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",NULL,NULL,"New York",NY,USA,"US Air Force Academy","Troy State University"
"Wendy B. Lawrence",1992,14,Retired,"2059-07-02 00:00:00",Female,"Ocean Engineering","Ocean Engineering",Captain,"US Navy (Retired)",4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",NULL,NULL,Jacksonville,FL,USA,"US Naval Academy",MIT
"Mark C. Lee",1984,10,Retired,"2052-08-14 00:00:00",Male,"Civil Engineering","Mechanical Engineering",Colonel,"US Air Force (Retired)",4,789,4,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",NULL,NULL,Viroqua,WI,USA,"US Air Force Academy",MIT
"David C. Leestma",1980,9,Management,"2049-05-06 00:00:00",Male,"Aeronautical Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",NULL,NULL,Muskegon,MI,USA,"US Naval Academy","US Naval Postgraduate School"
"William B. Lenoir",1967,6,Deceased,"2039-03-14 00:00:00",Male,"Electrical Engineering","Electrical Engineering",Non-Military,Non-military,1,122,0,0,"STS-5 (Columbia)",8/26/12,NULL,Miami,FL,USA,MIT,
"Fred W. Leslie",NULL,NULL,Retired,"2051-12-19 00:00:00",Male,"Engineering Science",Meteorology,Non-Military,Non-military,1,381,0,0,"STS-73 (Columbia)",NULL,NULL,Ancon,,Panama,"University of Texas","University of Oklahoma"
"Byron K. Lichtenberg",NULL,NULL,Retired,"2048-02-19 00:00:00",Male,"Aerospace Engineering","Mechanical Engineering; Biomedical Engineering",Non-Military,Non-military,2,461,0,0,"STS-9 (Columbia), STS-45 (Atlantis)",NULL,NULL,Stroudsburg,PA,USA,"Brown University",MIT
"Don L. Lind",1966,5,Retired,"2030-05-18 00:00:00",Male,Physics,"Nuclear Physics",Non-Military,Non-military,1,168,0,0,"STS 51-B (Challenger)",NULL,NULL,Midvale,UT,USA,"University of Utah","University of California-Berkley"
"Kjell N. Lindgren",2009,20,Active,"1973-01-23 00:00:00",Male,Biology,"Medicine; Cardiovascular Physiology; Health Informatics; Public Health",Non-Military,Non-military,1,3400,2,15,"ISS-44,45 (Soyuz)",NULL,NULL,Taipei,,Taiwan,"US Air Force Academy","University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston"
"Steven W. Lindsey",1995,15,Retired,"2060-08-24 00:00:00",Male,"Engineering Science","Aeronautical Engineering",Colonel,"US Air Force (Retired)",5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",NULL,NULL,Arcadia,CA,USA,"US Air Force Academy","US Air Force Institute of Technology"
"Jerry M. Linenger",1992,14,Retired,"2055-01-16 00:00:00",Male,Bioscience,"Systems Management; Public Health; Medicine; Epidemiology",Captain,"US Navy (Retired)",2,3435,1,5,"STS-64 (Discovery), STS-81,84 (Atlantis)",NULL,NULL,"Mount Clemens",MI,USA,"US Naval Academy","University of Southern California; University of North Carolina; Wayne State University"
"Richard M. Linnehan",1992,14,Management,"2057-09-19 00:00:00",Male,"Animal Science","Veterinary Medicine; Public Administration",Non-Military,Non-military,4,1427,6,43,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",NULL,NULL,Lowell,MA,USA,"University of New Hampshire","Ohio State University; Harvard University"
"Gregory T. Linteris",NULL,NULL,Retired,"2057-10-04 00:00:00",Male,"Chemical Engineering","Mechanical Engineering; Mechanical & Aerospace Engineering",Non-Military,Non-military,2,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",NULL,NULL,Demarest,NJ,USA,"Princeton University","Stanford University"
"John A. Llewellyn",1967,6,Retired,"2033-04-22 00:00:00",Male,Chemistry,Chemistry,Non-Military,Non-military,0,0,0,0,"No missions",NULL,NULL,Cardiff,,Wales,"University College at Cardiff",
"Paul S. Lockhart",1996,16,Retired,"2056-04-28 00:00:00",Male,Mathematics,"Aerospace Engineering",Colonel,"US Air Force (Retired)",2,663,0,0,"STS-111 (Endeavor), STS-113 (Endeavor)",NULL,NULL,Amarillo,TX,USA,"Texas Tech University","University of Texas"
"Michael E. Lopez-Alegria",1992,14,Retired,"2058-05-30 00:00:00",Male,"Systems Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",3,6190,10,67,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)",NULL,NULL,Madrid,,Spain,"US Naval Academy","US Naval Postgraduate School"
"Christopher J. Loria",1996,16,Retired,"2060-07-09 00:00:00",Male,Engineering,"Public Administration",Colonel,"US Marine Corps (Retired)",0,0,0,0,"No missions",NULL,NULL,Belmont,MA,USA,"US Naval Academy","Harvard University"
"J. Mike Lounge",1980,9,Deceased,"2046-06-28 00:00:00",Male,"Mathematics & Physics",Astrogeophysics,Non-Military,Non-military,3,483,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",3/1/11,NULL,Denver,CO,USA,"US Naval Academy","University of Colorado"
"Jack R. Lousma",1966,5,Retired,"2036-02-29 00:00:00",Male,"Aeronautical Engineering","Aeronautical Engineering",Colonel,"US Marine Corps (Retired)",2,1619,2,11,"Skylab 3, STS-3 (Columbia)",NULL,NULL,"Grand Rapids",MI,USA,"University of Michigan","US Naval Postgraduate School"
"Stanley G. Love",1998,17,Management,"2065-06-08 00:00:00",Male,Physics,Astronomy,Non-Military,Non-military,1,306,2,15,"STS-122 (Atlantis)",NULL,NULL,"San Diego",CA,USA,"Harvey Mudd College","University of Washington"
"James A. Lovell Jr. ",1962,2,Retired,"2028-03-25 00:00:00",Male,NULL,NULL,Captain,"US Navy (Retired)",4,715,0,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",NULL,NULL,Cleveland,OH,USA,"US Naval Academy",
"G. David Low",1984,10,Deceased,"2056-02-19 00:00:00",Male,"Physics & Engineering","Mechanical Engineering; Aeronautics & Astronautics",Non-Military,Non-military,3,714,1,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",3/15/08,NULL,Cleveland,OH,USA,"Washington & Lee University","Cornell University; Stanford University"
"Edward T. Lu",1995,15,Retired,"2063-07-01 00:00:00",Male,"Electrical Engineering","Applied Physics",Non-Military,Non-military,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",NULL,NULL,Springfield,MA,USA,"Cornell University","Stanford University"
"Shannon W. Lucid",1978,8,Retired,"2043-01-14 00:00:00",Female,Chemistry,Biochemistry,Non-Military,Non-military,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76,79 (Atlantis)",NULL,NULL,Shanghai,,China,"University of Oklahoma",
"Sandra H. Magnus",1996,16,Retired,"2064-10-30 00:00:00",Female,Physics,"Electrical Engineering; Materials Science & Engineering",Non-Military,Non-military,3,3776,0,0,"STS-112 (Atlantis), STS-126,119 (Endeavor,Discovery), STS-135 (Atlantis)",NULL,NULL,Belleville,IL,USA,"University of Missouri-Rolla","Georgia Institute of Technology"
"Thomas H. Marshburn",2004,19,Active,"2060-08-29 00:00:00",Male,Physics,"Engineering Physics; Medicine; Medical Science",Non-Military,Non-military,2,3871,4,24,"STS-127 (Endeavor), ISS-34,35 (Soyuz)",NULL,NULL,Statesville,NC,USA,"Davidson College","University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston"
"Michael J. Massimino",1996,16,Management,"2062-08-19 00:00:00",Male,"Industrial Engineering","Technology & Policy; Mechanical Engineering",Non-Military,Non-military,2,571,4,30,"STS-109 (Columbia), STS-125 (Atlantis)",NULL,NULL,Oceanside,NY,USA,"Columbia University",MIT
"Richard A. Mastracchio",1996,16,Active,"2060-02-11 00:00:00",Male,"Electrical Engineering; Computer Science","Electrical Engineering; Physical Sciences",Non-Military,Non-military,4,5461,9,53,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38,39 (Soyuz)",NULL,NULL,Waterbury,CT,USA,"University of Connecticut","Rensselaer Polytechnic Institute; University of Houston-Clear Lake"
"Thomas K. Mattingly II ",1966,5,Retired,"2036-03-17 00:00:00",Male,"Aeronautical Engineering",NULL,"Rear Admiral","US Navy (Retired)",3,508,1,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",NULL,NULL,Chicago,IL,USA,"Auburn University",
"K. Megan McArthur",2000,18,Active,"1971-08-30 00:00:00",Female,"Aerospace Engineering",Oceanography,Non-Military,Non-military,1,309,0,0,"STS-125 (Atlantis)",NULL,NULL,Honolulu,HI,USA,"University of California-Los Angeles","University of California-San Diego"
"William S. McArthur Jr. ",1990,3,Management,"2051-07-26 00:00:00",Male,"Applied Science & Engineering","Aerospace Engineering",Colonel,"US Army (Retired)",4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",NULL,NULL,Laurinburg,NC,USA,"US Military Academy","Georgia Institute of Technology"
"S. Christa McAuliffe",NULL,NULL,Deceased,"2048-09-02 00:00:00",Female,Education,Education,Non-Military,Non-military,1,0,0,0,"STS 51-L (Challenger)",1/28/86,"STS 51-L (Challenger)",Boston,MA,USA,"Framingham State College","Bowie State College"
"Jon A. McBride",1978,8,Retired,"2043-08-14 00:00:00",Male,"Aeronautical Engineering",NULL,Captain,"US Navy (Retired)",1,197,0,0,"STS 41-G (Challenger)",NULL,NULL,Charleston,WV,USA,"US Naval Postgraduate School",
"Bruce McCandless II ",1966,5,Retired,"2037-06-08 00:00:00",Male,NULL,"Electrical Engineering; Business Administration",Captain,"US Navy (Retired)",2,312,2,12,"STS 41-B (Challenger), STS-31 (Discovery)",NULL,NULL,Boston,MA,USA,"US Naval Academy","Stanford University; University of Houston-Clear Lake"
"William C. McCool",1996,16,Deceased,"2061-09-23 00:00:00",Male,"Naval Sciences","Computer Science; Aeronautical Engineering",Commander,"US Navy",1,382,0,0,"STS-107 (Columbia)",2/1/03,"STS-107 (Columbia)","San Diego",CA,USA,"US Naval Academy","University of Maryland; US Naval Postgraduate School"
"Michael J. McCulley",1984,10,Retired,"2043-08-04 00:00:00",Male,"Metallurgical Engineering","Metallurgical Engineering",Captain,"US Navy (Retired)",1,119,0,0,"STS-34 (Atlantis)",NULL,NULL,"San Diego",CA,USA,"Purdue University",
"James A. McDivitt",1984,2,Retired,"2029-06-10 00:00:00",Male,"Astronautical Engineering",NULL,"Brigadier General","US Air Force (Retired)",2,338,0,0,"Gemini 4, Apollo 9",NULL,NULL,Chicago,IL,USA,"University of Michigan",
"Donald R. McMonagle",1987,12,Retired,"2052-05-14 00:00:00",Male,"Astronautical Engineering","Mechanical  Engineering",Colonel,"US Air Force (Retired)",3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",NULL,NULL,Flint,MI,USA,"US Air Force Academy","California State University-Fresno"
"Ronald E. McNair",1978,8,Deceased,"2050-10-21 00:00:00",Male,Physics,Physics,Non-Military,Non-military,2,191,0,0,"STS 41-B (Challenger), STS 51-L (Challenger)",1/28/86,"STS 51-L (Challenger)","Lake City",SC,USA,"North Carolina A&T State College",MIT
"Carl J. Meade",1985,11,Retired,"2050-11-16 00:00:00",Male,"Electronics Engineering","Electronics Engineering",Colonel,"US Air Force (Retired)",3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",NULL,NULL,"Chanute Air Force Base",IL,USA,"University of Texas","California Institute of Technology"
"Bruce E. Melnick",1987,12,Retired,"2049-12-05 00:00:00",Male,Engineering,"Aeronautical Systems",Commander,"US Coast Guard (Retired)",2,311,0,0,"STS-41 (Discovery), STS-49 (Endeavor)",NULL,NULL,"New York",NY,USA,"US Coast Guard Academy","West Florida University"
"Pamela A. Melroy",1995,15,Retired,"2061-09-17 00:00:00",Female,"Physics & Astronomy","Earth & Planetary Sciences",Colonel,"US Air Force (Retired)",3,914,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",NULL,NULL,"Palo Alto",CA,USA,"Wellesley College",MIT
"Leland D. Melvin",1998,17,Management,"2064-02-15 00:00:00",Male,Chemistry,"Materials Science Engineering",Non-Military,Non-military,2,565,0,0,"STS-122 (Atlantis), STS-129 (Atlantis)",NULL,NULL,Lynchburg,VA,USA,"University of Richmond","University of Virginia"
"Dorothy M. Metcalf-Lindenberger",2004,19,Active,"1975-05-02 00:00:00",Female,Geology,NULL,Non-Military,Non-military,1,362,0,0,"STS-131 (Discovery)",NULL,NULL,"Colorado Springs",CO,USA,"Whitman College",
"F. Curtis Michel",1965,4,Retired,"2034-06-05 00:00:00",Male,Physics,Physics,Non-Military,Non-military,0,0,0,0,"No missions",NULL,NULL,LaCrosse,WI,USA,"California Institute of Technology",
"Edgar D. Mitchell",1966,5,Retired,"2030-09-17 00:00:00",Male,"Industrial Management","Aeronautical Engineering; Aeronautics & Astronautics",Captain,"US Navy (Retired)",1,216,2,9,"Apollo 14",NULL,NULL,Hereford,TX,USA,"Carnegie-Mellon University","US Naval Postgraduate School; MIT"
"Barbara R. Morgan",1998,17,Retired,"2051-11-28 00:00:00",Female,"Human Biology",NULL,Non-Military,Non-military,1,305,0,0,"STS-118 (Endeavor)",NULL,NULL,Fresno,CA,USA,"Stanford University",
"Lee M. Morin",1996,16,Management,"2052-09-09 00:00:00",Male,"Mathematical & Electrical Science","Public Health; Biochemistry; Medicine; Microbiology",Captain,"US Navy",1,259,2,14,"STS-110 (Atlantis)",NULL,NULL,Manchester,NH,USA,"University of New Hampshire","University of Alabama-Birmingham; New York University"
"Richard M. Mullane",1978,8,Retired,"2045-09-10 00:00:00",Male,"Military Engineering","Aeronautical Engineering",Colonel,"US Air Force (Retired)",3,356,0,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",NULL,NULL,"Wichita Falls",TX,USA,"US Military Academy","US Air Force Institute of Technology"
"Story Musgrave",1967,6,Retired,"2035-08-19 00:00:00",Male,"Mathematics & Statistics; Chemistry","Business Administration; Physiology; Literature; Medicine",Non-Military,Non-military,6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",NULL,NULL,Boston,MA,USA,"Syracuse University","Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University"
"Steven R. Nagel",1978,8,Retired,"2046-10-27 00:00:00",Male,"Aerospace Engineering","Mechanical  Engineering",Colonel,"US Air Force (Retired)",4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",NULL,NULL,Canton,IL,USA,"University of Illinois","California State University-Fresno"
"Bill Nelson",NULL,NULL,Retired,"2042-09-29 00:00:00",Male,NULL,Law,Captain,"US Army (Retired)",1,146,0,0,"STS 61-C (Columbia)",NULL,NULL,Miami,FL,USA,"Yale University","University of Virginia"
"George D. Nelson",1978,8,Retired,"2050-07-13 00:00:00",Male,Physics,Astronomy,Non-Military,Non-military,3,411,2,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",NULL,NULL,"Charles City",IA,USA,"Harvey Mudd College","University of Washington"
"James H. Newman",1990,13,Retired,"2056-10-16 00:00:00",Male,Physics,Physics,Non-Military,Non-military,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",NULL,NULL,"San Diego",CA,USA,"Dartmouth College","Rice University"
"Carlos I. Noriega",1995,15,Retired,"2059-10-08 00:00:00",Male,"Computer Science","Computer Science; Space Systems Operations","Lieutenant Colonel","US Marine Corps (Retired)",2,481,3,19,"STS-84 (Atlantis), STS-97 (Endeavor)",NULL,NULL,Lima,,Peru,"University of Southern California","US Naval Postgraduate School"
"Lisa M. Nowak",1996,16,Retired,"2063-05-10 00:00:00",Female,"Aerospace Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",1,306,0,0,"STS-121 (Discovery)",NULL,NULL,Washington,DC,USA,"US Naval Academy","US Naval Postgraduate School"
"Karen L. Nyberg",2000,18,Active,"1969-10-07 00:00:00",Female,"Mechanical Engineering","Mechanical Engineering",Non-Military,Non-military,2,4320,0,0,"STS-124 (Discovery), ISS-36,37 (Soyuz)",NULL,NULL,"Parker’s Prairie",MN,USA,"University of North Dakota","University of Texas"
"Bryan D. O'Connor",1980,9,Retired,"2046-09-06 00:00:00",Male,Engineering,"Aeronautical Systems",Colonel,"US Marine Corps (Retired)",2,383,0,0,"STS 61-B (Atlantis), STS-40 (Columbia)",NULL,NULL,Orange,CA,USA,"US Naval Academy","West Florida University"
"Brian T. O'Leary",1967,6,Deceased,"2040-01-27 00:00:00",Male,Physics,Astronomy,Non-Military,Non-military,0,0,0,0,"No missions",7/28/11,NULL,Boston,MA,USA,"Williams College","Georgetown University; University of California-Berkeley"
"Ellen Ochoa",1990,13,Management,"2058-05-10 00:00:00",Female,Physics,"Electrical Engineering",Non-Military,Non-military,4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",NULL,NULL,"Los Angeles",CA,USA,"San Diego State University","Stanford University"
"William A. Oefelein",1998,17,Retired,"2065-03-29 00:00:00",Male,"Electrical Engineering","Aviation Systems",Commander,"US Navy (Retired)",1,308,0,0,"STS-116 (Discovery)",NULL,NULL,"Ft. Belvoir",VA,USA,"Oregon State University","University of Tennessee"
"John D. Olivas",1998,17,Retired,"2066-05-25 00:00:00",Male,"Mechanical Engineering","Mechanical  Engineering; Mechanical  Engineering & Materials Science",Non-Military,Non-military,2,665,5,34,"STS-117 (Atlantis), STS-128 (Discovery)",NULL,NULL,"North Hollywood",CA,USA,"University of Texas-El Paso","University of Houston; Rice University"
"Ellison S. Onizuka",1978,8,Deceased,"2046-06-24 00:00:00",Male,"Aerospace Engineering","Aerospace Engineering","Lieutenant Colonel","US Air Force",2,73,0,0,"STS 51-C (Discovery), STS 51-L (Challenger)",1/28/86,"STS 51-L (Challenger)",Kealakekua,HI,USA,"University of Colorado",
"Stephen S. Oswald",1985,11,Retired,"2051-06-30 00:00:00",Male,"Aerospace Engineering",NULL,Non-Military,Non-military,3,814,0,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",NULL,NULL,Seattle,WA,USA,"US Naval Academy",
"Robert F. Overmyer",1969,7,Deceased,"2036-07-14 00:00:00",Male,Physics,Aeronautics,Colonel,"US Marine Corps (Retired)",2,290,0,0,"STS-5 (Columbia), STS 51-B (Challenger)",3/22/96,NULL,Lorain,OH,USA,"Baldwin Wallace College","US Naval Postgraduate School"
"William A. Pailes",NULL,NULL,Retired,"2052-06-26 00:00:00",Male,"Computer Science","Computer Science",Colonel,"US Air Force (Retired)",1,97,0,0,"STS 51-J (Atlantis)",NULL,NULL,Hackensack,NJ,USA,"US Air Force Academy","Texas A&M University"
"Scott E. Parazynski",1992,14,Retired,"2061-07-28 00:00:00",Male,Biology,Medicine,Non-Military,Non-military,5,1404,7,47,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)",NULL,NULL,"Little Rock",AR,USA,"Stanford University",
"Ronald A. Parise",NULL,NULL,Deceased,"2051-05-24 00:00:00",Male,Physics,Astronomy,Non-Military,Non-military,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",5/9/08,NULL,Warren,OH,USA,"Youngstown State University","University of Florida"
"Robert A. Parker",1967,6,Retired,"2036-12-14 00:00:00",Male,"Physics & Astronomy",Astronomy,Non-Military,Non-military,2,462,0,0,"STS-9 (Columbia), STS-35 (Columbia)",NULL,NULL,"New York",NY,USA,"Amherst College","California Institute of Technology"
"Niclolas J. M. Patrick",1998,17,Retired,"2064-03-22 00:00:00",Male,Engineering,"Engineering; Mechanical Engineering",Non-Military,Non-military,2,638,3,18,"STS-116 (Discovery), STS-130 (Endeavor)",NULL,NULL,"North Yorkshire",,England,"University of Cambridge",MIT
"James A. Pawelczyk",NULL,NULL,Retired,"2060-09-20 00:00:00",Male,"Biology & Psychology","Physiology; Biology",Non-Military,Non-military,1,381,0,0,"STS-90 (Columbia)",NULL,NULL,Buffalo,NY,USA,"University of Rochester","Pennsylvania State University; University of North Texas"
"Gary E. Payton",NULL,NULL,Retired,"2048-06-20 00:00:00",Male,"Astronautical Engineering","Astronautical & Aeronautical Engineering",Major,"US Air Force",1,73,0,0,"STS 51-C (Discovery)",NULL,NULL,"Rock Island",IL,USA,"US Air Force Academy","Purdue University"
"Donald H. Peterson",1969,7,Retired,"2033-10-22 00:00:00",Male,NULL,"Nuclear Engineering",Colonel,"US Air Force (Retired)",1,120,1,4,"STS-6 (Challenger)",NULL,NULL,Winona,MS,USA,"US Military Academy","US Air Force Institute of Technology"
"Donald R. Pettit",1996,16,Active,"2055-04-20 00:00:00",Male,"Chemical Engineering","Chemical Engineering",Non-Military,Non-military,3,8872,2,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30,31 (Soyuz)",NULL,NULL,Silverton,OR,USA,"Oregon State University","University of Arizona"
"John L. Phillips",1996,16,Retired,"2051-04-15 00:00:00",Male,"Mathematics; Russian","Aeronautical Systems; Geophysics & Space Physics",Captain,"US Naval Reserves (Retired)",3,4880,1,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",NULL,NULL,"Ft. Belvoir",VA,USA,"US Naval Academy","University of West Florida; University of California-Los Angeles"
"William R. Pogue",1966,5,Retired,"2030-01-23 00:00:00",Male,Education,Mathematics,Colonel,"US Air Force (Retired)",1,2017,2,13,"Skylab 4",NULL,NULL,Okemah,OK,USA,"Oklahoma Baptist University","Oklahoma State University"
"Alan G. Poindexter",1998,17,Deceased,"2061-11-05 00:00:00",Male,"Aerospace Engineering","Aeronautical Engineering",Captain,"US Navy",2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)",7/1/12,NULL,Pasadena,CA,USA,"Georgia Institute of Technology","US Naval Postgraduate School"
