Name,Year,Group,Status,"Birth Date",Gender,"Undergraduate Major","Graduate Major","Military Rank","Military Branch","Space Flights","Space Flight (hr)","Space Walks","Space Walks (hr)",Missions,"Death Date","Death Mission",Birth_city,Birth_state,Birth_country,Ugrad_school,Grad_school
"Mark L. Polansky",1996,16,Retired,"2056-06-02 00:00:00",Male,"Aeronautical & Astronautical Engineering","Aeronautical & Astronautical Engineering",Non-Military,Non-military,3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",NULL,NULL,Paterson,NJ,USA,"Purdue University",
"Charles J. Precourt",1990,13,Retired,"2055-06-29 00:00:00",Male,"Aeronautical Engineering","Engineering Management; Strategic Studies",Colonel,"US Air Force (Retired)",4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",NULL,NULL,Waltham,MA,USA,"US Air Force Academy","Golden Gate University; US Naval War College"
"William F. Readdy",1987,12,Retired,"2052-01-24 00:00:00",Male,"Aerospace Engineering",NULL,Captain,"US Navy (Retired)",3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",NULL,NULL,"Quonset Point",RI,USA,"US Naval Academy",
"Kenneth S. Reightler Jr. ",1987,12,Retired,"2051-03-24 00:00:00",Male,"Aerospace Engineering","Aeronautical Engineering; Systems Management",Captain,"US Navy (Retired)",2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)",NULL,NULL,"Patuxent River",MD,USA,"US Naval Academy","US Naval Postgraduate School; University of Southern California"
"James F. Reilly II ",1995,15,Retired,"2054-03-18 00:00:00",Male,Geosciences,Geosciences,Non-Military,Non-military,3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",NULL,NULL,"Mountain Home Air Force Base",ID,USA,"University of Texas-Dallas",
"Garrett E. Reisman",1998,17,Retired,"2068-02-10 00:00:00",Male,Economics,"Mechanical  Engineering",Non-Military,Non-military,2,2571,3,21,"STS-123,124 (Endeavor,Discovery), STS-132 (Atlantis)",NULL,NULL,Morristown,NJ,USA,"University of Pennsylvania","California Institute of Technology"
"Judith A. Resnik",1978,8,Deceased,"2049-04-05 00:00:00",Female,"Electrical Engineering","Electrical Engineering",Non-Military,Non-military,2,144,0,0,"STS 41-D (Discovery), STS 51-L (Challenger)",1/28/86,"STS 51-L (Challenger)",Akron,OH,USA,"Carnegie-Mellon University","University of Maryland"
"Paul W. Richards",1996,16,Management,"2064-05-20 00:00:00",Male,"Mechanical Engineering","Mechanical Engineering",Non-Military,Non-military,1,307,1,6,"STS-102 (Discovery)",NULL,NULL,Scranton,PA,USA,"Drexel University","University of Maryland"
"Richard N. Richards",1980,9,Retired,"2046-08-24 00:00:00",Male,"Chemical Engineering","Aeronautical Systems",Captain,"US Navy (Retired)",4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",NULL,NULL,"Key West",FL,USA,"University of Missouri","University of West Florida"
"Sally K. Ride",1978,8,Deceased,"2051-05-26 00:00:00",Female,"Physics; English",Physics,Non-Military,Non-military,2,343,0,0,"STS-7 (Challenger), STS 41-G (Challenger)",7/23/12,NULL,"Los Angeles",CA,USA,"Stanford University",
"Patricia Hilliard Robertson",1998,17,Deceased,"2063-03-12 00:00:00",Female,Biology,Medicine,Non-Military,Non-military,0,0,0,0,"No missions",5/24/01,NULL,Indiana,PA,USA,"Indiana University of Pennsylvania","Medical College of Pennsylvania"
"Stephen K. Robinson",1995,15,Retired,"2055-10-26 00:00:00",Male,"Mechanical & Aeronautical Engineering","Mechanical  Engineering",Non-Military,Non-military,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",NULL,NULL,Sacramento,CA,USA,"University of California-Davis","Stanford University"
"Kent V. Rominger",1992,14,Retired,"2056-08-07 00:00:00",Male,"Civil Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",NULL,NULL,"Del Norte",CO,USA,"Colorado State University","US Naval Postgraduate School"
"Stuart A. Roosa",1966,5,Deceased,"2033-08-16 00:00:00",Male,"Aeronautical Engineering",NULL,Colonel,"US Air Force (Retired)",1,216,0,0,"Apollo 14",12/12/94,NULL,Durango,CO,USA,"University of Colorado",
"Jerry L. Ross",1980,9,Retired,"2048-01-20 00:00:00",Male,"Mechanical Engineering","Mechanical Engineering",Colonel,"US Air Force (Retired)",7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",NULL,NULL,"Crown Point",IN,USA,"Purdue University",
"Kathleen Rubins",2009,20,Active,"1978-10-14 00:00:00",Female,"Molecular Biology","Cancer Biology",Non-Military,Non-military,1,2762,2,13,"ISS-48,49 (Soyuz)",NULL,NULL,Farmington,CT,USA,"University of California-San Diego","Stanford University"
"Mario Runco Jr. ",1987,12,Management,"2052-01-26 00:00:00",Male,"Earth & Planetary Science","Atmospheric Physics","Lieutenant Commander","US Navy (Retired)",3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",4/23/01,NULL,Bronx,NY,USA,"City College of New York","Rutgers University"
"Albert Sacco Jr.",NULL,NULL,Retired,"2049-05-03 00:00:00",Male,"Chemical Engineering","Chemical Engineering",Non-Military,Non-military,1,381,0,0,"STS-73 (Columbia)",NULL,NULL,Boston,MA,USA,"Northeastern University",MIT
"Robert L. Satcher Jr. ",2004,19,Retired,"2065-09-22 00:00:00",Male,"Chemical Engineering","Chemical Engineering; Medicine",Non-Military,Non-military,1,259,2,12,"STS-129 (Atlantis)",NULL,NULL,Hampton,VA,USA,MIT,"Harvard University"
"Walter M. Schirra Jr. ",1959,1,Deceased,"2023-03-12 00:00:00",Male,"Naval Sciences",NULL,Captain,"US Navy (Retired)",3,295,0,0,"Mercury 8, Gemini 6, Apollo 7",5/2/07,NULL,Hackensack,NJ,USA,"US Naval Academy",
"Harrison H. Schmitt",1965,4,Retired,"2035-07-03 00:00:00",Male,Geology,Geology,Non-Military,Non-military,1,301,3,22,"Apollo 17",NULL,NULL,"Santa Rita",NM,USA,"California Institute of Technology","Harvard University"
"Russell L. Schweickart",1963,3,Retired,"2035-10-25 00:00:00",Male,"Aeronautics & Astronautics","Aeronautics & Astronautics",Non-Military,Non-military,1,241,1,1,"Apollo 9",NULL,NULL,Neptune,NJ,USA,MIT,
"Francis R. Scobee",1978,8,Deceased,"2039-05-19 00:00:00",Male,"Aerospace Engineering",NULL,Major,"US Air Force (Retired)",2,167,0,0,"STS 41-C (Challenger), STS 51-L (Challenger)",1/28/86,"STS 51-L (Challenger)","Cle Elum",WA,USA,"University of Arizona",
"David R. Scott",1963,3,Retired,"2032-06-06 00:00:00",Male,NULL,"Aeronautics & Astronautics",Colonel,"US Air Force (Retired)",3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",NULL,NULL,"San Antonio",TX,USA,"US Military Academy",MIT
"Winston E. Scott",1992,14,Retired,"2050-08-06 00:00:00",Male,Music,"Aeronautical Engineering",Captain,"US Navy (Retired)",2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)",NULL,NULL,Miami,FL,USA,"Florida State University","US Naval Postgraduate School"
"Paul D. Scully-Power",NULL,NULL,Retired,"2044-05-28 00:00:00",Male,"Applied Mathematics",NULL,Non-Military,Non-military,1,197,0,0,"STS 41-G (Challenger)",NULL,NULL,Sydney,,Australia,"University of Sydney",
"Richard A. Searfoss",1990,13,Retired,"2056-06-05 00:00:00",Male,"Aeronautical Engineering",Aeronautics,Colonel,"US Air Force (Retired)",3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",NULL,NULL,"Mount Clemens",MI,USA,"US Air Force Academy","California Institute of Technology"
"Margaret Rhea Seddon",1978,8,Retired,"2047-11-08 00:00:00",Female,Physiology,Medicine,Non-Military,Non-military,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",NULL,NULL,Murfreesboro,TN,USA,"University of California-Berkeley","University of Tennessee"
"Elliot M. See Jr. ",1962,2,Deceased,"2027-07-23 00:00:00",Male,NULL,Engineering,Non-Military,Non-military,0,0,0,0,"No missions",2/28/66,NULL,Dallas,TX,USA,"US Merchant Marine Academy","University of California-Los Angeles"
"Ronald M. Sega",1990,13,Retired,"2052-12-04 00:00:00",Male,"Physics & Mathematics","Physics; Electrical Engineering",Colonel,"US Air Force Reserves (Retired)",2,420,0,0,"STS-60 (Discovery), STS-76 (Atlantis)",NULL,NULL,Cleveland,OH,USA,"US Air Force Academy","Ohio State University; University of Colorado"
"Piers J. Sellers",1996,16,Management,"2055-04-11 00:00:00",Male,"Ecological Science",Biometeorology,Non-Military,Non-military,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",NULL,NULL,Crowborough,,England,"University of Edinburgh","Leeds University"
"Brewster H. Shaw Jr. ",1978,8,Retired,"2045-05-16 00:00:00",Male,"Engineering Mechanics","Engineering Mechanics",Colonel,"US Air Force (Retired)",3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",NULL,NULL,"Cass City",MI,USA,"University of Wisconsin",
"Alan B. Shepard Jr. ",1959,1,Deceased,"2023-11-18 00:00:00",Male,"Naval Sciences",NULL,"Rear Admiral","US Navy (Retired)",2,216,2,9,"Mercury 3, Apollo 14",7/21/98,NULL,"East Derry",NH,USA,"US Naval Academy",
"William M. Shepherd",1984,10,Retired,"2049-07-26 00:00:00",Male,"Aerospace Engineering","Mechanical  Engineering",Captain,"US Navy (Retired)",4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01,STS-102 (Soyuz,Discovery)",NULL,NULL,"Oak Ridge",TN,USA,"US Naval Academy",MIT
"Loren J. Shriver",1978,8,Retired,"2044-09-23 00:00:00",Male,"Aeronautical Engineering","Astronautical Engineering",Colonel,"US Air Force (Retired)",3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",NULL,NULL,Jefferson,IA,USA,"US Air Force Academy","Purdue University"
"Donald K. Slayton",1959,1,Deceased,"2024-03-01 00:00:00",Male,"Aeronautical Engineering",NULL,Major,"US Air Force Reserves",1,217,0,0,"Apollo-Soyuz Test Project",6/13/93,NULL,Sparta,WI,USA,"University of Minnesota",
"Michael J. Smith",1980,9,Deceased,"2045-04-30 00:00:00",Male,"Naval Sciences","Aeronautical Engineering",Captain,"US Navy",1,0,0,0,"STS 51-L (Challenger)",1/28/86,"STS 51-L (Challenger)",Beaufort,NC,USA,"US Naval Academy","US Naval Postgraduate School"
"Steven L. Smith",1992,14,Management,"2058-12-30 00:00:00",Male,"Electrical Engineering","Electrical Engineering",Non-Military,Non-military,4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",NULL,NULL,Phoenix,AZ,USA,"Stanford University",
"Sherwood C. Spring",1980,9,Retired,"2044-09-23 00:00:00",Male,Engineering,"Aerospace Engineering",Colonel,"US Army (Retired)",1,165,2,12,"STS 61-B (Atlantis)",NULL,NULL,Hartford,CT,USA,"US Military Academy","University of Arizona"
"Robert C. Springer",1980,9,Retired,"2042-05-21 00:00:00",Male,"Naval Sciences","Operations Research",Colonel,"US Marine Corps (Retired)",2,237,0,0,"STS-29 (Discovery), STS-38 (Atlantis)",NULL,NULL,"St. Louis",MO,USA,"US Naval Academy","US Naval Postgraduate School"
"Thomas P. Stafford",1962,2,Retired,"2030-09-17 00:00:00",Male,NULL,NULL,"Lieutenant General","US Air Force (Retired)",4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",NULL,NULL,Weatherford,OK,USA,"US Naval Academy",
"Heidemarie M. Stefanyshyn-Piper",1996,16,Retired,"2063-02-07 00:00:00",Female,"Mechanical Engineering",NULL,Captain,"US Navy",2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)",NULL,NULL,"St. Paul",MN,USA,MIT,
"Robert L. Stewart",1978,8,Retired,"2042-08-13 00:00:00",Male,Mathematics,"Aerospace Engineering","Brigadier General","US Army (Retired)",2,289,2,12,"STS 41-B (Challenger), STS 51-J (Atlantis)",NULL,NULL,Washington,DC,USA,"University of Southern Mississippi","University of Texas-Arlington"
"Nicole P. Stott",2000,18,Active,"2062-11-19 00:00:00",Female,"Aeronautical Engineering","Engineering Management",Non-Military,Non-military,2,2477,1,6,"STS-128,129 (Discovery,Atlantis), STS-133 (Discovery)",NULL,NULL,Albany,NY,USA,"Embry-Riddle Aeronautical University","University of Central Florida"
"Frederick W. Sturckow",1995,15,Retired,"2061-08-11 00:00:00",Male,"Mechanical Engineering",NULL,Colonel,"US Marine Corps (Retired)",4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",NULL,NULL,"La Mesa",CA,USA,"California Polytechnic State University",
"Kathryn D. Sullivan",1978,8,Retired,"2051-10-03 00:00:00",Female,"Earth Sciences","Earth Sciences; Geology",Non-Military,Non-military,3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",NULL,NULL,Patterson,NJ,USA,"University of California-Santa Cruz","Dalhousie University"
"Steven R. Swanson",1998,17,Active,"2060-12-03 00:00:00",Male,"Engineering Physics","Computer Systems; Computer Science",Non-Military,Non-military,3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39,40 (Soyuz)",NULL,NULL,Syracuse,NY,USA,"University of Colorado","Florida Atlantic University; Texas A&M University"
"John L. Swigert Jr. ",1966,5,Deceased,"2031-08-30 00:00:00",Male,"Mechanical Engineering","Aerospace Science; Business Administration",Non-Military,Non-military,1,142,0,0,"Apollo 13",12/27/82,NULL,Denver,CO,USA,"University of Colorado","Rensselaer Polytechnic Institute; University of Hartford"
"Daniel M. Tani",1996,16,Retired,"2061-02-01 00:00:00",Male,"Mechanical Engineering","Mechanical Engineering",Non-Military,Non-military,2,3162,6,39,"STS-108 (Endeavor), STS-120,122 (Discovery,Atlantis)",NULL,NULL,"Ridley Park",PA,USA,MIT,
"Joseph R. Tanner",1992,14,Retired,"2050-01-21 00:00:00",Male,"Mechanical Engineering",NULL,Non-Military,Non-military,4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",NULL,NULL,Danville,IL,USA,"University of Illinois",
"Norman E. Thagard",1978,8,Retired,"2043-07-03 00:00:00",Male,"Engineering Science","Engineering Science; Medicine",Non-Military,Non-military,5,3373,0,0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz,Atlantis)",NULL,NULL,Marianna,FL,USA,"Florida State University","University of Texas"
"Andrew S. W. Thomas",1992,14,Management,"2051-12-18 00:00:00",Male,"Mechanical Engineering","Mechanical Engineering",Non-Military,Non-military,4,4257,1,6,"STS-77 (Endeavor), STS-89,91 (Endeavor,Discovery), STS-102 (Discovery), STS-114 (Discovery)",NULL,NULL,Adelaide,,Australia,"University of Adelaide",
"Donald A. Thomas",1990,13,Retired,"2055-05-06 00:00:00",Male,Physics,"Materials Science",Non-Military,Non-military,4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",NULL,NULL,Cleveland,OH,USA,"Case Western Reserve University","Cornell University"
"Stephen D. Thorne",1985,11,Deceased,"2053-02-11 00:00:00",Male,Engineering,NULL,"Lieutenant Commander","US Navy",0,0,0,0,"No missions",5/24/86,NULL,Frankfurt,,"West Germany","US Naval Academy",
"Kathryn C. Thornton",1984,10,Retired,"2052-08-17 00:00:00",Female,Physics,Physics,Non-Military,Non-military,4,975,3,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",NULL,NULL,Montgomery,AL,USA,"Auburn University","University of Virginia"
"William E. Thornton",1967,6,Retired,"2029-04-14 00:00:00",Male,Physics,Medicine,Non-Military,Non-military,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)",NULL,NULL,Faison,NC,USA,"University of North Carolina",
"Pierre J. Thuot",1985,11,Retired,"2055-05-19 00:00:00",Male,Physics,"Systems Management",Commander,"US Navy",3,654,3,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",NULL,NULL,Groton,CT,USA,"US Naval Academy","University of Southern California"
"Scott D. Tingle",2009,20,Active,"2065-07-19 00:00:00",Male,"Mechanical Engineering","Mechanical Engineering",Commander,"US Navy",0,0,0,0,"No missions",NULL,NULL,Attleboro,MA,USA,"Southeastern Massachusetts University","Purdue University"
"Richard H. Truly",1969,7,Retired,"2037-11-12 00:00:00",Male,"Aeronautical Engineering",NULL,"Vice Admiral","US Navy (Retired)",2,199,0,0,"STS-2 (Columbia), STS-8 (Challenger)",NULL,NULL,Fayette,MS,USA,"Georgia Institute of Technology",
"Lodewijk van den Berg",NULL,NULL,Retired,"2032-03-24 00:00:00",Male,"Chemical Engineering","Applied Science",Non-Military,Non-military,1,168,0,0,"STS 51-B (Challenger)",NULL,NULL,Sluiskil,,Netherlands,"Delft University of Technology","University of Delaware"
"James D. van Hoften",1978,8,Retired,"2044-06-11 00:00:00",Male,"Civil Engineering","Hydraulic Engineering; Fluid Mechanics",Non-Military,Non-military,2,338,4,22,"STS 41-C (Challenger), STS 51-I (Discovery)",NULL,NULL,Fresno,CA,USA,"University of California-Berkeley","Colorado State University"
"Mark T. Vande Hei",2009,20,Active,"2066-11-10 00:00:00",Male,Physics,"Applied Physics",Colonel,"US Army",0,0,0,0,"No missions",NULL,NULL,"Falls Church",VA,USA,"Saint John’s University","Stanford University"
"Charles Lacy Veach",1984,10,Deceased,"2044-09-18 00:00:00",Male,"Engineering Management",NULL,Non-Military,Non-military,2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)",10/3/95,NULL,Chicago,IL,USA,"US Air Force Academy",
"Terry W. Virts Jr. ",2000,18,Active,"2067-12-01 00:00:00",Male,Mathematics,Aeronautics,Colonel,"US Air Force",2,5122,3,18,"STS-130 (Endeavor), ISS-42,43 (Soyuz)",NULL,NULL,Baltimore,MD,USA,"US Air Force Academy","Embry-Riddle Aeronautical University"
"James S. Voss",1987,12,Retired,"2049-03-03 00:00:00",Male,"Aerospace Engineering","Aerospace Engineering Sciences",Colonel,"US Army (Retired)",5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102,105 (Discovery)",NULL,NULL,Cordova,AL,USA,"Auburn University","University of Colorado"
"Janice E. Voss",1990,13,Deceased,"2056-10-08 00:00:00",Female,"Engineering Science","Electrical Engineering; Aeronautics & Astronautics",Non-Military,Non-military,5,1179,0,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2/6/12,NULL,"South Bend",IN,USA,"Purdue University",MIT
"Rex J. Walheim",1996,16,Active,"2062-10-10 00:00:00",Male,"Mechanical Engineering","Industrial Engineering",Colonel,"US Air Force (Retired)",3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",NULL,NULL,Redwood,CA,USA,"University of California-Berkeley","University of Houston"
"Charles D. Walker",NULL,NULL,Retired,"2048-08-29 00:00:00",Male,"Aeronautical & Astronautical Engineering",NULL,Non-Military,Non-military,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",NULL,NULL,Bedford,IN,USA,"Purdue University",
"David M. Walker",1978,8,Deceased,"2044-05-20 00:00:00",Male,"Naval Sciences",NULL,Captain,"US Navy (Retired)",4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",4/23/01,NULL,Columbus,GA,USA,"US Naval Academy",
"Shannon Walker",2004,19,Active,"2065-06-04 00:00:00",Female,"Space Physics","Space Physics",Non-Military,Non-military,1,3919,0,0,"ISS-24,25 (Soyuz)",NULL,NULL,Houston,TX,USA,"Rice University",
"Carl E. Walz",1990,13,Retired,"2055-09-06 00:00:00",Male,Physics,"Solid State Physics",Colonel,"US Air Force",4,5533,3,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108,111 (Endeavor)",NULL,NULL,Cleveland,OH,USA,"Kent State University","John Carroll University"
"Taylor G. Wang",NULL,NULL,Retired,"2040-06-16 00:00:00",Male,Physics,Physics,Non-Military,Non-military,1,168,0,0,"STS 51-B (Challenger)",NULL,NULL,Jiangxi,,China,"University of California at Los Angeles",
"Mary E. Weber",1992,14,Retired,"2062-08-24 00:00:00",Female,"Chemical Engineering","Physical Chemistry",Non-Military,Non-military,2,450,0,0,"STS-70 (Discovery), STS-101 (Atlantis)",NULL,NULL,Cleveland,OH,USA,"Purdue University","University of California-Berkeley"
"Paul J. Weitz",1966,5,Retired,"2032-06-25 00:00:00",Male,"Aeronautical Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",2,793,1,2,"Skylab 2, STS-6 (Challenger)",NULL,NULL,Erie,PA,USA,"Pennsylvania State University","US Naval Postgraduate School"
"James D. Wetherbee",1984,10,Retired,"2052-11-27 00:00:00",Male,"Aerospace Engineering",NULL,Captain,"US Navy (Retired)",6,1594,0,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",NULL,NULL,Flushing,NY,USA,"University of Notre Dame",
"Douglas H. Wheelock",1998,17,Active,"2060-05-05 00:00:00",Male,"Applied Science & Engineering","Aerospace Engineering",Colonel,"US Army",2,4281,6,43,"STS-120 (Discovery), ISS-24,25 (Soyuz)",NULL,NULL,Binghamton,NY,USA,"US Military Academy","Georgia Institute of Technology"
"Edward H. White II ",1962,2,Deceased,"2030-11-14 00:00:00",Male,NULL,"Aeronautical Engineering","Lieutenant Colonel","US Air Force",2,97,1,0.5,"Gemini 4, Apollo 1",1/27/67,"Apollo 1","San Antonio",TX,USA,"US Military Academy","University of Michigan"
"Peggy A. Whitson",1996,16,Active,"2060-02-09 00:00:00",Female,"Chemistry & Biology",Biochemistry,Non-Military,Non-military,3,11698,7,46,"STS-111,113 (Endeavor), ISS-16 (Soyuz), ISS-50,51 (Soyuz)",NULL,NULL,"Mt. Ayr",IA,USA,"Iowa Wesleyan College","Rice University"
"Terrence W. Wilcutt",1990,13,Management,"2049-10-31 00:00:00",Male,Mathematics,NULL,Non-Military,Non-military,4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",NULL,NULL,Russellville,KY,USA,"Western Kentucky University",
"Clifton C. Williams Jr. ",1963,3,Deceased,"2032-09-26 00:00:00",Male,"Mechanical Engineering",NULL,Major,"US Marine Corps",0,0,0,0,"No missions",10/5/67,NULL,Mobile,AL,USA,"Auburn University",
"Donald E. Williams",1978,8,Retired,"2058-02-13 00:00:00",Male,"Mechanical Engineering",NULL,Captain,"US Navy (Retired)",2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)",NULL,NULL,Lafayette,IN,USA,"Purdue University",
"Jeffrey N. Williams",1996,16,Active,"2058-01-18 00:00:00",Male,"Applied Science & Engineering","Aeronautical Engineering; National Security & Strategic Studies",Colonel,"US Army (Retired)",4,12818,5,32,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21,22 (Soyuz), ISS-47,48 (Soyuz)",NULL,NULL,Superior,WI,USA,"US Military Academy","US Naval Postgraduate School; US Naval War College"
"Sunita L. Williams",1998,17,Active,"2065-09-19 00:00:00",Female,"Physical Science","Engineering Management",Captain,"US Navy",2,7721,7,50,"STS-116,117 (Discovery,Atlantis), ISS-32,33 (Soyuz)",NULL,NULL,Euclid,OH,USA,"US Naval Academy","Florida Institute of Technology"
"Barry E. Wilmore",2000,18,Active,"2062-12-29 00:00:00",Male,"Electrical Engineering","Electrical Engineering; Aviation Systems",Captain,"US Navy",2,4272,4,25,"STS-129 (Atlantis), ISS-41,42 (Soyuz)",NULL,NULL,Murfreesboro,TN,USA,"Tennessee Technological University","University of Tennessee"
"Stephanie D. Wilson",1996,16,Active,"2066-09-27 00:00:00",Female,"Engineering Science","Aerospace Engineering",Non-Military,Non-military,3,1031,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",NULL,NULL,Boston,MA,USA,"Harvard University","University of Texas"
"G. Reid Wiseman",2009,20,Active,"1975-11-11 00:00:00",Male,"Computer & Systems Engineering","Systems Engineering",Commander,"US Navy",1,3968,2,13,"ISS-40,41 (Soyuz)",NULL,NULL,Baltimore,MD,USA,"Rensselaer Polytechnic Institute","Johns Hopkins University"
"Peter J. K. Wisoff",1990,13,Retired,"2058-08-16 00:00:00",Male,Physics,"Applied Physics",Non-Military,Non-military,4,1064,3,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",NULL,NULL,Norfolk,VA,USA,"University of Virginia","Stanford University"
"David A. Wolf",1990,13,Retired,"2056-08-23 00:00:00",Male,"Electrical Engineering",Medicine,Non-Military,Non-military,3,4044,7,41,"STS-58 (Columbia). STS-86,89 (Atlantis,Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",NULL,NULL,Indianapolis,IN,USA,"Purdue University","Indiana University"
"Neil W. Woodward III ",1998,17,Retired,"2062-07-26 00:00:00",Male,Physics,"Physics; Business Management",Commander,"US Navy",0,0,0,0,"No missions",NULL,NULL,Chicago,IL,USA,MIT,"University of Texas-Austin; George Washington University"
"Alfred M. Worden",1966,5,Retired,"2032-02-07 00:00:00",Male,"Military Science","Aeronautical & Astronautical Engineering",Colonel,"US Air Force (Retired)",1,295,1,0.5,"Apollo 15",NULL,NULL,Jackson,MI,USA,"US Military Academy","University of Michigan"
"John W. Young",1962,2,Retired,"2030-09-24 00:00:00",Male,"Aeronautical Engineering",NULL,Captain,"US Navy (Retired)",6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",NULL,NULL,"San Francisco",CA,USA,"Georgia Institute of Technology",
"George D. Zamka",1998,17,Retired,"2062-06-29 00:00:00",Male,Mathematics,"Engineering Management",Colonel,"US Marine Corps (Retired)",2,692,0,0,"STS-120 (Discovery), STS-130 (Endeavor)",NULL,NULL,"Jersey City",NJ,USA,"US Naval Academy","Florida Institute of Technology"
